scan_timestamp_ct,date,asset_type,universe,rank,ticker,company_name,price,price_change_pct,signal,close,change_pct,rsi,puddle
2026-06-17T10:33:00-05:00,2026-06-17,ETF,ETF,25,SCHD,Schwab US Dividend Equity ETF,32.43,-0.31,Puddle,32.44,-0.28,45.92,"1st: MA20, 10% cash"
2026-06-17T10:33:00-05:00,2026-06-17,ETF,ETF,36,IVW,iShares S&P 500 Growth ETF,137.24,0.04,Puddle,137.24,0.04,45.09,"1st: MA20, 10% cash"
2026-06-17T10:33:00-05:00,2026-06-17,ETF,ETF,55,SPYG,State Street SPDR Portfolio S&P 500 Growth ETF,118.94,0.03,Puddle,118.94,0.03,45.26,"1st: MA20, 10% cash"
2026-06-17T10:33:00-05:00,2026-06-17,Stock,"S&P500,NASDAQ100",S26/N19,COST,Costco Wholesale Corp,978.47,-0.83,Puddle,978.47,-0.83,43.68,"3rd: MA120, 50% cash, 5d"
2026-06-17T10:33:00-05:00,2026-06-17,Stock,"S&P500,NASDAQ100",S69/N35,CRWD,Crowdstrike Holdings Inc,684.37,0.64,Puddle,684.37,-1.23,55.6,"1st: MA20, 10% cash"
2026-06-17T10:33:00-05:00,2026-06-17,Stock,NASDAQ100,52,CSX,CSX Corporation,46.21,-1.47,Puddle,46.21,-1.47,54.33,"1st: MA20, 10% cash"
2026-06-17T10:33:00-05:00,2026-06-17,Stock,NASDAQ100,56,DDOG,"Datadog, Inc. Class A Common Stock",230.82,0.57,Puddle,230.82,-0.97,53.68,"1st: MA20, 10% cash"
2026-06-17T10:33:00-05:00,2026-06-17,Stock,NASDAQ100,58,MDLZ,"Mondelez International, Inc. Class A",61.71,-0.71,Puddle,61.71,-0.71,46.52,"1st: MA20, 10% cash"
2026-06-17T10:33:00-05:00,2026-06-17,Stock,S&P500,62,VZ,Verizon Communications Inc,45.62,-2.39,Puddle,45.62,-2.38,36.97,"3rd: MA120, 50% cash, 5d"
2026-06-17T10:33:00-05:00,2026-06-17,Stock,NASDAQ100,67,LITE,Lumentum Holdings Inc. Common Stock,876.58,-0.39,Puddle,876.58,-8.43,48.22,"2nd: MA60, 50% cash, 5d"
2026-06-17T10:33:00-05:00,2026-06-17,Stock,S&P500,68,TMO,Thermo Fisher Scientific Inc,470.37,-0.48,Puddle,470.37,-0.48,42.19,"1st: MA20, 10% cash"
2026-06-17T10:33:00-05:00,2026-06-17,Stock,NASDAQ100,79,ODFL,Old Dominion Freight Line,224.95,-2.88,Puddle,224.95,-2.88,52.68,"1st: MA20, 10% cash"
2026-06-17T10:33:00-05:00,2026-06-17,Stock,S&P500,79,UNP,Union Pacific Corp,261.67,-2.16,Puddle,261.67,-2.16,45.63,"1st: MA20, 10% cash"
2026-06-17T10:33:00-05:00,2026-06-17,Stock,NASDAQ100,92,WDAY,"Workday, Inc. Class A Common Stock",126.88,0.39,Puddle,126.86,-2.11,51.8,"2nd: MA60, 50% cash, 5d"
2026-06-17T10:33:00-05:00,2026-06-17,Stock,NASDAQ100,93,GEHC,GE HealthCare Technologies Inc. Common Stock,62.87,-0.57,Puddle,62.87,-2.92,45.99,"1st: MA20, 10% cash"
2026-06-17T10:33:00-05:00,2026-06-17,Stock,NASDAQ100,101,CHTR,Charter Comm Inc Del CL A New,137.76,-2.84,Puddle,137.76,-2.84,38.98,"1st: MA20, 10% cash"
