scan_timestamp_ct,date,asset_type,universe,rank,ticker,company_name,price,price_change_pct,signal,close,change_pct,rsi,puddle
2026-05-28T22:42:00-05:00,2026-05-28,ETF,ETF,44,IBIT,iShares Bitcoin Trust ETF,41.56,-2.1,RSI & Puddle,41.22,-2.9,27.95,"2nd: MA60, 50% cash, 5d"
2026-05-28T22:42:00-05:00,2026-05-28,ETF,ETF,57,JEPI,JPMorgan Equity Premium Income Fund,56.2,-0.14,Puddle,56.24,-0.07,48.96,"1st: MA20, 10% cash"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,S&P500,16,V,Visa Inc,324.95,-0.81,Puddle,322.09,-1.68,51.65,"3rd: MA120, 50% cash, 5d"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,"S&P500,NASDAQ100",S49/N26,LIN,Linde PLC,501.98,-1.16,Puddle,502.8,-1.0,56.9,"1st: MA20, 10% cash"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,S&P500,34,PG,Procter & Gamble Co/The,145.91,-1.07,Puddle,145.83,-1.13,49.42,"3rd: MA120, 50% cash, 5d"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,S&P500,41,PM,Philip Morris International Inc,178.57,-1.91,Puddle,180.09,-1.07,61.58,"1st: MA20, 10% cash"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,NASDAQ100,50,SNPS,Synopsys Inc,480.64,-8.61,Puddle,480.85,-8.57,40.62,"1st: MA20, 10% cash"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,NASDAQ100,61,ABNB,"Airbnb, Inc. Class A Common Stock",134.5,1.82,Puddle,131.86,-0.18,32.38,"3rd: MA120, 50% cash, 5d"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,NASDAQ100,67,WBD,"Warner Bros. Discovery, Inc. Series A Common Stock",27.04,-0.37,Puddle,27.04,-0.37,47.53,"1st: MA20, 10% cash"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,S&P500,68,DIS,Walt Disney Co/The,103.73,-0.43,Puddle,103.89,-0.28,35.98,"1st: MA20, 10% cash"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,S&P500,70,TJX,TJX Cos Inc/The,154.89,-1.35,Puddle,154.98,-1.29,51.66,"3rd: MA120, 50% cash, 5d"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,S&P500,73,BLK,Blackrock Inc,1046.49,-2.23,Puddle,1050.99,-1.81,45.51,"3rd: MA120, 50% cash, 5d"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,NASDAQ100,73,MSTR,Strategy Inc Common Stock Class A,151.64,-1.66,Puddle,146.93,-4.71,30.74,"3rd: MA120, 50% cash, 5d"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,NASDAQ100,78,XEL,"Xcel Energy, Inc.",79.26,-2.15,Puddle,79.66,-1.65,46.23,"2nd: MA60, 50% cash, 5d"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,NASDAQ100,84,CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,92.29,-2.54,Puddle,93.14,-1.65,52.14,"3rd: MA120, 50% cash, 5d"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,S&P500,93,CB,Chubb Ltd,316.22,-1.38,Puddle,317.39,-1.01,45.27,"3rd: MA120, 50% cash, 5d"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,S&P500,99,COF,Capital One Financial Corp,187.02,-0.94,Puddle,186.33,-1.31,42.02,"2nd: MA60, 50% cash, 5d"
2026-05-28T22:42:00-05:00,2026-05-28,Stock,S&P500,100,BMY,Bristol-Myers Squibb Co,56.91,-1.06,Puddle,56.83,-1.2,53.97,"3rd: MA120, 50% cash, 5d"
